Hour,Hydrogen delivered (central)
1,0
2,0
3,550.7956666
4,518.3135839
5,221.5688688
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
